token	corpus size	all contexts size	frequency	co-frequency	specificity
пор	36950	13043	8	5	1.08
называет	36950	13043	8	5	1.08
явлений	36950	13043	8	5	1.08
свободы	36950	13043	8	5	1.08
связь	36950	13043	8	5	1.08
твоя	36950	13043	8	5	1.08
связана	36950	13043	8	5	1.08
возможно	36950	13043	8	5	1.08
силы	36950	13043	8	5	1.08
служит	36950	13043	8	5	1.08
уровне	36950	13043	8	5	1.08
того	36950	13043	61	24	1.08
чувство	36950	13043	52	21	1.08
стыда	36950	13043	21	10	1.05
перед	36950	13043	44	18	1.04
значит	36950	13043	27	12	1.02
ибо	36950	13043	16	8	1.02
людей	36950	13043	64	24	1.02
Бог	36950	13043	30	13	1.02
имеет	36950	13043	30	13	1.02
Да	36950	13043	6	4	1.01
принято	36950	13043	6	4	1.01
Библии	36950	13043	6	4	1.01
всякого	36950	13043	6	4	1.01
понуждает	36950	13043	6	4	1.01
справедливость	36950	13043	6	4	1.01
волей	36950	13043	6	4	1.01
видим	36950	13043	6	4	1.01
признать	36950	13043	6	4	1.01
являются	36950	13043	6	4	1.01
таком	36950	13043	6	4	1.01
чисто	36950	13043	6	4	1.01
отсутствие	36950	13043	6	4	1.01
различных	36950	13043	6	4	1.01
христианстве	36950	13043	6	4	1.01
иврите	36950	13043	6	4	1.01
способна	36950	13043	6	4	1.01
услышать	36950	13043	6	4	1.01
важно	36950	13043	6	4	1.01
скорее	36950	13043	6	4	1.01
состояния	36950	13043	6	4	1.01
самости	36950	13043	6	4	1.01
теории	36950	13043	6	4	1.01
достаточно	36950	13043	6	4	1.01
сразу	36950	13043	6	4	1.01
считать	36950	13043	6	4	1.01
мысль	36950	13043	6	4	1.01
дух	36950	13043	11	6	0.99
кажется	36950	13043	11	6	0.99
делать	36950	13043	49	19	0.99
грех	36950	13043	22	10	0.98
Так	36950	13043	31	13	0.97
значение	36950	13043	14	7	0.95
поэтому	36950	13043	14	7	0.95
обладает	36950	13043	14	7	0.95
сожалеть	36950	13043	4	3	0.94
нечиста	36950	13043	4	3	0.94
повествует	36950	13043	4	3	0.94
свидетельствуют	36950	13043	4	3	0.94
слышать	36950	13043	4	3	0.94
Примеры	36950	13043	4	3	0.94
природным	36950	13043	4	3	0.94
побуждала	36950	13043	4	3	0.94
страдали	36950	13043	4	3	0.94
заслуживающие	36950	13043	4	3	0.94
похвалы	36950	13043	4	3	0.94
таинствах	36950	13043	4	3	0.94
исповеди	36950	13043	4	3	0.94
причастия	36950	13043	4	3	0.94
руководит	36950	13043	4	3	0.94
мыслями	36950	13043	4	3	0.94
источник	36950	13043	4	3	0.94
интуитивизма	36950	13043	4	3	0.94
признает	36950	13043	4	3	0.94
первых	36950	13043	4	3	0.94
Златоуст	36950	13043	4	3	0.94
свободе	36950	13043	4	3	0.94
различные	36950	13043	4	3	0.94
начало	36950	13043	4	3	0.94
Божьим	36950	13043	4	3	0.94
Святого	36950	13043	4	3	0.94
глас	36950	13043	4	3	0.94
основных	36950	13043	4	3	0.94
внешние	36950	13043	4	3	0.94
внутренними	36950	13043	4	3	0.94
Основная	36950	13043	4	3	0.94
фильтр	36950	13043	4	3	0.94
назвать	36950	13043	4	3	0.94
решение	36950	13043	4	3	0.94
исправлять	36950	13043	4	3	0.94
Из	36950	13043	4	3	0.94
рождается	36950	13043	4	3	0.94
сохранить	36950	13043	4	3	0.94
Лукавая	36950	13043	4	3	0.94
Где	36950	13043	4	3	0.94
частью	36950	13043	4	3	0.94
Откуда	36950	13043	4	3	0.94
переживаний	36950	13043	4	3	0.94
собственной	36950	13043	4	3	0.94
итоге	36950	13043	4	3	0.94
Честь	36950	13043	4	3	0.94
долг	36950	13043	4	3	0.94
факт	36950	13043	4	3	0.94
развита	36950	13043	4	3	0.94
особенно	36950	13043	4	3	0.94
вывод	36950	13043	4	3	0.94
искаженная	36950	13043	4	3	0.94
Бога	36950	13043	35	14	0.94
жизнь	36950	13043	17	8	0.93
зрения	36950	13043	29	12	0.93
правильно	36950	13043	20	9	0.92
свойством	36950	13043	9	5	0.92
поступками	36950	13043	9	5	0.92
стоит	36950	13043	9	5	0.92
механизм	36950	13043	9	5	0.92
определение	36950	13043	9	5	0.92
другой	36950	13043	9	5	0.92
контроля	36950	13043	2	2	0.90
Когтистый	36950	13043	2	2	0.90
Незваный	36950	13043	2	2	0.90
гость	36950	13043	2	2	0.90
докучный	36950	13043	2	2	0.90
собеседник	36950	13043	2	2	0.90
Заимодавец	36950	13043	2	2	0.90
грубый	36950	13043	2	2	0.90
ведьма	36950	13043	2	2	0.90
жалок	36950	13043	2	2	0.90
большего	36950	13043	2	2	0.90
облегчения	36950	13043	2	2	0.90
обособленной	36950	13043	2	2	0.90
дел»	36950	13043	2	2	0.90
Злая	36950	13043	2	2	0.90
палача	36950	13043	2	2	0.90
причиной	36950	13043	2	2	0.90
раскаяния	36950	13043	2	2	0.90
покоится	36950	13043	2	2	0.90
природное	36950	13043	2	2	0.90
производное	36950	13043	2	2	0.90
зародыш	36950	13043	2	2	0.90
рассматривает	36950	13043	2	2	0.90
принцип	36950	13043	2	2	0.90
ложной	36950	13043	2	2	0.90
действительное	36950	13043	2	2	0.90
двойную	36950	13043	2	2	0.90
надобности	36950	13043	2	2	0.90
возникнет	36950	13043	2	2	0.90
объективное	36950	13043	2	2	0.90
Представить	36950	13043	2	2	0.90
нелегко	36950	13043	2	2	0.90
этико-религиозными	36950	13043	2	2	0.90
Ближайшим	36950	13043	2	2	0.90
показаний	36950	13043	2	2	0.90
мнения	36950	13043	2	2	0.90
ближних	36950	13043	2	2	0.90
почва	36950	13043	2	2	0.90
έτέρου	36950	13043	2	2	0.90
разумеет	36950	13043	2	2	0.90
ставит	36950	13043	2	2	0.90
Позже	36950	13043	2	2	0.90
догматические	36950	13043	2	2	0.90
заслоняют	36950	13043	2	2	0.90
изредка	36950	13043	2	2	0.90
упоминание	36950	13043	2	2	0.90
неоднократно	36950	13043	2	2	0.90
изображал	36950	13043	2	2	0.90
указывал	36950	13043	2	2	0.90
достаточный	36950	13043	2	2	0.90
служили	36950	13043	2	2	0.90
прямо-таки	36950	13043	2	2	0.90
затемняли	36950	13043	2	2	0.90
засоряли	36950	13043	2	2	0.90
рассматривающих	36950	13043	2	2	0.90
житейские	36950	13043	2	2	0.90
изображена	36950	13043	2	2	0.90
изменчивое	36950	13043	2	2	0.90
условное	36950	13043	2	2	0.90
Некоторый	36950	13043	2	2	0.90
психологический	36950	13043	2	2	0.90
анализ	36950	13043	2	2	0.90
Меланхтона	36950	13043	2	2	0.90
сравнивающего	36950	13043	2	2	0.90
посылка —	36950	13043	2	2	0.90
схоластической	36950	13043	2	2	0.90
«скрытое»	36950	13043	2	2	0.90
(«компас»	36950	13043	2	2	0.90
мусар	36950	13043	2	2	0.90
клайот	36950	13043	2	2	0.90
вредит	36950	13043	2	2	0.90
республиканца	36950	13043	2	2	0.90
монархиста	36950	13043	2	2	0.90
Адольф	36950	13043	2	2	0.90
философия	36950	13043	2	2	0.90
на чём	36950	13043	2	2	0.90
и какие	36950	13043	2	2	0.90
её антиподом	36950	13043	2	2	0.90
можно ли	36950	13043	2	2	0.90
развить	36950	13043	2	2	0.90
в детстве	36950	13043	2	2	0.90
и продолжается	36950	13043	2	2	0.90
В основном	36950	13043	2	2	0.90
строится	36950	13043	2	2	0.90
на базе	36950	13043	2	2	0.90
и условий	36950	13043	2	2	0.90
третий	36950	13043	2	2	0.90
на который	36950	13043	2	2	0.90
опирается	36950	13043	2	2	0.90
и саморегуляция	36950	13043	2	2	0.90
Кандидат	36950	13043	2	2	0.90
наук	36950	13043	2	2	0.90
доцент	36950	13043	2	2	0.90
Комаров	36950	13043	2	2	0.90
отмечает	36950	13043	2	2	0.90
провоцировать	36950	13043	2	2	0.90
и положительные	36950	13043	2	2	0.90
и негативные	36950	13043	2	2	0.90
мы проходим	36950	13043	2	2	0.90
«секьюрити»	36950	13043	2	2	0.90
и чувствуем	36950	13043	2	2	0.90
то испытываем	36950	13043	2	2	0.90
личную	36950	13043	2	2	0.90
искупление	36950	13043	2	2	0.90
концепт	36950	13043	2	2	0.90
Немецкий	36950	13043	2	2	0.90
философ-экзистенциалист	36950	13043	2	2	0.90
Мартин	36950	13043	2	2	0.90
Хайдеггер	36950	13043	2	2	0.90
значимую	36950	13043	2	2	0.90
призывает	36950	13043	2	2	0.90
внимательными	36950	13043	2	2	0.90
к своему	36950	13043	2	2	0.90
А ещё	36950	13043	2	2	0.90
по Хайдеггеру	36950	13043	2	2	0.90
он потенциально	36950	13043	2	2	0.90
нравственен	36950	13043	2	2	0.90
и свободен	36950	13043	2	2	0.90
Но при	36950	13043	2	2	0.90
плюсах	36950	13043	2	2	0.90
и навредить	36950	13043	2	2	0.90
Можно ли	36950	13043	2	2	0.90
на свою	36950	13043	2	2	0.90
Три	36950	13043	2	2	0.90
основные	36950	13043	2	2	0.90
Цитаты	36950	13043	2	2	0.90
требующий	36950	13043	2	2	0.90
взаимодействии	36950	13043	2	2	0.90
функций	36950	13043	2	2	0.90
Основной	36950	13043	2	2	0.90
Христово	36950	13043	2	2	0.90
запечатленное	36950	13043	2	2	0.90
святым	36950	13043	2	2	0.90
крещением	36950	13043	2	2	0.90
исцеляет	36950	13043	2	2	0.90
поддерживается	36950	13043	2	2	0.90
возвышается	36950	13043	2	2	0.90
последованием	36950	13043	2	2	0.90
приходе	36950	13043	2	2	0.90
Обычно	36950	13043	2	2	0.90
Одна	36950	13043	2	2	0.90
важных	36950	13043	2	2	0.90
индивидуальная	36950	13043	2	2	0.90
отличаются	36950	13043	2	2	0.90
друга	36950	13043	2	2	0.90
индивидуальной	36950	13043	2	2	0.90
Хиросиму	36950	13043	2	2	0.90
течение	36950	13043	2	2	0.90
социальную	36950	13043	2	2	0.90
другая	36950	13043	2	2	0.90
такова	36950	13043	2	2	0.90
Фильмы	36950	13043	2	2	0.90
Вера	36950	13043	2	2	0.90
скорби	36950	13043	2	2	0.90
сделки	36950	13043	2	2	0.90
владеет	36950	13043	2	2	0.90
судящей	36950	13043	2	2	0.90
Петра	36950	13043	2	2	0.90
нередко	36950	13043	2	2	0.90
разное	36950	13043	2	2	0.90
идолов	36950	13043	2	2	0.90
мнительная	36950	13043	2	2	0.90
смертью	36950	13043	2	2	0.90
ущерб	36950	13043	2	2	0.90
невнимателен	36950	13043	2	2	0.90
грешить	36950	13043	2	2	0.90
очерствевает	36950	13043	2	2	0.90
Изучением	36950	13043	2	2	0.90
психология	36950	13043	2	2	0.90
христианская	36950	13043	2	2	0.90
большинства	36950	13043	2	2	0.90
вызывая	36950	13043	2	2	0.90
моральное	36950	13043	2	2	0.90
Владимира	36950	13043	2	2	0.90
Даля	36950	13043	2	2	0.90
определял	36950	13043	2	2	0.90
жизни»	36950	13043	2	2	0.90
предотвратить	36950	13043	2	2	0.90
суеверные	36950	13043	2	2	0.90
страхи	36950	13043	2	2	0.90
предметов	36950	13043	2	2	0.90
лицемерии	36950	13043	2	2	0.90
лжеучителях	36950	13043	2	2	0.90
Сочувствие	36950	13043	2	2	0.90
заблуждение	36950	13043	2	2	0.90
Удовлетворение	36950	13043	2	2	0.90
добродетель	36950	13043	2	2	0.90
чистота	36950	13043	2	2	0.90
стараться	36950	13043	2	2	0.90
Божества	36950	13043	2	2	0.90
сжигает	36950	13043	2	2	0.90
Сама	36950	13043	2	2	0.90
сгорает	36950	13043	2	2	0.90
внушениям	36950	13043	2	2	0.90
конечно	36950	13043	2	2	0.90
Подобные	36950	13043	2	2	0.90
лжеучителей	36950	13043	2	2	0.90
считают	36950	13043	2	2	0.90
своей»	36950	13043	2	2	0.90
ощущать	36950	13043	2	2	0.90
примирение	36950	13043	2	2	0.90
отвечающую	36950	13043	2	2	0.90
включают	36950	13043	2	2	0.90
подчинение	36950	13043	2	2	0.90
любого	36950	13043	2	2	0.90
внешнему	36950	13043	2	2	0.90
работа	36950	13043	2	2	0.90
подкрепляется	36950	13043	2	2	0.90
стимулами	36950	13043	2	2	0.90
темы	36950	13043	2	2	0.90
утверждали	36950	13043	2	2	0.90
терпит	36950	13043	2	2	0.90
сделанное	36950	13043	2	2	0.90
способное	36950	13043	2	2	0.90
«Если	36950	13043	2	2	0.90
Б-г	36950	13043	2	2	0.90
исправление	36950	13043	2	2	0.90
философов	36950	13043	2	2	0.90
связанное	36950	13043	2	2	0.90
Там	36950	13043	2	2	0.90
пребывает	36950	13043	2	2	0.90
Любовь	36950	13043	2	2	0.90
ужасным	36950	13043	2	2	0.90
останется	36950	13043	2	2	0.90
бьет	36950	13043	2	2	0.90
проявляет	36950	13043	2	2	0.90
обладают	36950	13043	2	2	0.90
христиане	36950	13043	2	2	0.90
Христианину	36950	13043	2	2	0.90
перестанет	36950	13043	2	2	0.90
восприимчивой	36950	13043	2	2	0.90
двигать	36950	13043	2	2	0.90
боязнь	36950	13043	2	2	0.90
разоблачения	36950	13043	2	2	0.90
чиста»	36950	13043	2	2	0.90
философы	36950	13043	2	2	0.90
определяли	36950	13043	2	2	0.90
порицает	36950	13043	2	2	0.90
взрослой	36950	13043	2	2	0.90
разделяет	36950	13043	2	2	0.90
обрести	36950	13043	2	2	0.90
тип	36950	13043	2	2	0.90
Отсутствие	36950	13043	2	2	0.90
поощрения	36950	13043	2	2	0.90
умеет	36950	13043	2	2	0.90
получает	36950	13043	2	2	0.90
договариваться	36950	13043	2	2	0.90
вопреки	36950	13043	2	2	0.90
Кому-то	36950	13043	2	2	0.90
орган	36950	13043	2	2	0.90
Святые	36950	13043	2	2	0.90
превращается	36950	13043	2	2	0.90
угрызений	36950	13043	2	2	0.90
Консервативная	36950	13043	2	2	0.90
Свобода	36950	13043	2	2	0.90
искажения	36950	13043	2	2	0.90
[Чистая	36950	13043	2	2	0.90
Мне	36950	13043	2	2	0.90
естественным	36950	13043	2	2	0.90
следствием	36950	13043	2	2	0.90
Благодаря	36950	13043	2	2	0.90
конфликта	36950	13043	2	2	0.90
конечном	36950	13043	2	2	0.90
укрепить	36950	13043	2	2	0.90
твоей	36950	13043	2	2	0.90
твою	36950	13043	2	2	0.90
Другими	36950	13043	2	2	0.90
мучила	36950	13043	2	2	0.90
хороша	36950	13043	2	2	0.90
системная	36950	13043	2	2	0.90
Интегральная	36950	13043	2	2	0.90
трансцендентная	36950	13043	2	2	0.90
норма	36950	13043	2	2	0.90
помогала	36950	13043	2	2	0.90
предкам	36950	13043	2	2	0.90
управлять	36950	13043	2	2	0.90
поведением	36950	13043	2	2	0.90
лежат	36950	13043	2	2	0.90
регулирующий	36950	13043	2	2	0.90
специалисты	36950	13043	2	2	0.90
происхождения	36950	13043	2	2	0.90
концепции	36950	13043	2	2	0.90
ребенке	36950	13043	2	2	0.90
Мыслители	36950	13043	2	2	0.90
Феномен	36950	13043	2	2	0.90
нарушениях	36950	13043	2	2	0.90
повествованиях	36950	13043	2	2	0.90
стыдом	36950	13043	2	2	0.90
в борьбе	36950	13043	2	2	0.90
за выживание	36950	13043	2	2	0.90
живший	36950	13043	2	2	0.90
эры	36950	13043	2	2	0.90
эмоциональных	36950	13043	2	2	0.90
Из сказанного	36950	13043	2	2	0.90
восстановлении	36950	13043	2	2	0.90
заглушается	36950	13043	2	2	0.90
слабеет	36950	13043	2	2	0.90
анализируя	36950	13043	2	2	0.90
требований	36950	13043	2	2	0.90
нападает	36950	13043	2	2	0.90
страшливость	36950	13043	2	2	0.90
заблуждающаяся	36950	13043	2	2	0.90
вразумляется	36950	13043	2	2	0.90
падает	36950	13043	2	2	0.90
Божественным	36950	13043	2	2	0.90
огнем	36950	13043	2	2	0.90
злато	36950	13043	2	2	0.90
первоначальная	36950	13043	2	2	0.90
покрывается	36950	13043	2	2	0.90
слоем	36950	13043	2	2	0.90
натачивается	36950	13043	2	2	0.90
безукоризненною	36950	13043	2	2	0.90
хранение	36950	13043	2	2	0.90
испытании	36950	13043	2	2	0.90
неправости	36950	13043	2	2	0.90
выборе	36950	13043	2	2	0.90
хватило	36950	13043	2	2	0.90
Служба	36950	13043	2	2	0.90
настоящая	36950	13043	2	2	0.90
прокурора	36950	13043	2	2	0.90
люди	36950	13043	42	15	0.89
Господь	36950	13043	12	6	0.88
чувством	36950	13043	12	6	0.88
нравственного	36950	13043	12	6	0.88
закона	36950	13043	34	13	0.88
точки	36950	13043	24	10	0.88
внутри	36950	13043	15	7	0.87
страх	36950	13043	15	7	0.87
должен	36950	13043	18	8	0.87
дает	36950	13043	34	12	0.85
почему	36950	13043	25	10	0.84
взаимоотношения	36950	13043	7	4	0.83
условий	36950	13043	7	4	0.83
одного	36950	13043	7	4	0.83
чувствовать	36950	13043	7	4	0.83
иная	36950	13043	7	4	0.83
правильный	36950	13043	7	4	0.83
постепенно	36950	13043	7	4	0.83
нами	36950	13043	7	4	0.83
заповеди	36950	13043	7	4	0.83
взгляд	36950	13043	7	4	0.83
иной	36950	13043	7	4	0.83
Зачем	36950	13043	7	4	0.83
действовать	36950	13043	19	8	0.82
случае	36950	13043	19	8	0.82
внутренний	36950	13043	29	10	0.81
называют	36950	13043	10	5	0.81
плод	36950	13043	10	5	0.81
силой	36950	13043	10	5	0.81
подобно	36950	13043	10	5	0.81
