token	corpus size	all contexts size	frequency	co-frequency	specificity
трагиков	278991	19521	2	2	2.31
Демон	278991	19521	2	2	2.31
касались	278991	19521	2	2	2.31
оракула	278991	19521	2	2	2.31
указал	278991	19521	2	2	2.31
Эпиктет	278991	19521	2	2	2.31
ближних	278991	19521	2	2	2.31
встречаемся	278991	19521	2	2	2.31
XIII	278991	19521	2	2	2.31
έτέρου)	278991	19521	2	2	2.31
разумеет	278991	19521	2	2	2.31
заслоняют	278991	19521	2	2	2.31
изредка	278991	19521	2	2	2.31
упоминание	278991	19521	2	2	2.31
изображал	278991	19521	2	2	2.31
указывал	278991	19521	2	2	2.31
Пелагия	278991	19521	2	2	2.31
противника	278991	19521	2	2	2.31
блаженного	278991	19521	2	2	2.31
Августина	278991	19521	2	2	2.31
казуистическому	278991	19521	2	2	2.31
служили	278991	19521	2	2	2.31
прямо-таки	278991	19521	2	2	2.31
затемняли	278991	19521	2	2	2.31
засоряли	278991	19521	2	2	2.31
рассмотрению	278991	19521	2	2	2.31
изображена	278991	19521	2	2	2.31
изменчивое	278991	19521	2	2	2.31
условное	278991	19521	2	2	2.31
синдерезиса)	278991	19521	2	2	2.31
потенцией	278991	19521	2	2	2.31
Подробный	278991	19521	2	2	2.31
Антонина	278991	19521	2	2	2.31
Флоренции	278991	19521	2	2	2.31
схоластическую	278991	19521	2	2	2.31
(синдерезис	278991	19521	2	2	2.31
эпоха	278991	19521	2	2	2.31
реформация	278991	19521	2	2	2.31
разрушала	278991	19521	2	2	2.31
созидая	278991	19521	2	2	2.31
стройной	278991	19521	2	2	2.31
Меланхтона	278991	19521	2	2	2.31
сравнивающего	278991	19521	2	2	2.31
посылка —	278991	19521	2	2	2.31
«скрытое»	278991	19521	2	2	2.31
(«компас»)	278991	19521	2	2	2.31
вредит	278991	19521	2	2	2.31
республиканца	278991	19521	2	2	2.31
монархиста	278991	19521	2	2	2.31
Адольф	278991	19521	2	2	2.31
на чём	278991	19521	2	2	2.31
её антиподом	278991	19521	2	2	2.31
можно ли	278991	19521	2	2	2.31
изобразить	278991	19521	2	2	2.31
имя —	278991	19521	2	2	2.31
и продолжается	278991	19521	2	2	2.31
В основном	278991	19521	2	2	2.31
и условий	278991	19521	2	2	2.31
С этой	278991	19521	2	2	2.31
от сочетания	278991	19521	2	2	2.31
Иззи	278991	19521	2	2	2.31
Калман	278991	19521	2	2	2.31
зеркальных	278991	19521	2	2	2.31
И после	278991	19521	2	2	2.31
не испытывает	278991	19521	2	2	2.31
и «плохо»	278991	19521	2	2	2.31
внутри нет	278991	19521	2	2	2.31
Низкая	278991	19521	2	2	2.31
и беспокойство	278991	19521	2	2	2.31
по этому	278991	19521	2	2	2.31
на который	278991	19521	2	2	2.31
и саморегуляция	278991	19521	2	2	2.31
ночь	278991	19521	2	2	2.31
в угрызениях	278991	19521	2	2	2.31
сорванной	278991	19521	2	2	2.31
в будущем	278991	19521	2	2	2.31
в похожей	278991	19521	2	2	2.31
об изменении	278991	19521	2	2	2.31
Комаров	278991	19521	2	2	2.31
провоцировать	278991	19521	2	2	2.31
и положительные	278991	19521	2	2	2.31
и негативные	278991	19521	2	2	2.31
мы проходим	278991	19521	2	2	2.31
«секьюрити»	278991	19521	2	2	2.31
и чувствуем	278991	19521	2	2	2.31
то испытываем	278991	19521	2	2	2.31
искупление	278991	19521	2	2	2.31
снимаем	278991	19521	2	2	2.31
в дискомфортных	278991	19521	2	2	2.31
эмоциях —	278991	19521	2	2	2.31
— пробуждается	278991	19521	2	2	2.31
концепт	278991	19521	2	2	2.31
философ-экзистенциалист	278991	19521	2	2	2.31
Хайдеггер	278991	19521	2	2	2.31
значимую	278991	19521	2	2	2.31
к своему	278991	19521	2	2	2.31
по Хайдеггеру	278991	19521	2	2	2.31
он потенциально	278991	19521	2	2	2.31
нравственен	278991	19521	2	2	2.31
и свободен	278991	19521	2	2	2.31
Но при	278991	19521	2	2	2.31
плюсах	278991	19521	2	2	2.31
и навредить	278991	19521	2	2	2.31
антиподом	278991	19521	2	2	2.31
Можно ли	278991	19521	2	2	2.31
на свою	278991	19521	2	2	2.31
На трансформации	278991	19521	2	2	2.31
подход —	278991	19521	2	2	2.31
морально-восстановительная	278991	19521	2	2	2.31
(MRT)	278991	19521	2	2	2.31
и в вопросах	278991	19521	2	2	2.31
запечатленное	278991	19521	2	2	2.31
святым	278991	19521	2	2	2.31
крещением	278991	19521	2	2	2.31
последованием	278991	19521	2	2	2.31
приходе	278991	19521	2	2	2.31
Хиросиму	278991	19521	2	2	2.31
лобная	278991	19521	2	2	2.31
Утверждая	278991	19521	2	2	2.31
Правмире	278991	19521	2	2	2.31
сделки	278991	19521	2	2	2.31
судящей	278991	19521	2	2	2.31
мнительная	278991	19521	2	2	2.31
невнимателен	278991	19521	2	2	2.31
очерствевает	278991	19521	2	2	2.31
раскрыл	278991	19521	2	2	2.31
отрадные	278991	19521	2	2	2.31
предотвратить	278991	19521	2	2	2.31
суеверные	278991	19521	2	2	2.31
Преданиии	278991	19521	2	2	2.31
лицемерии	278991	19521	2	2	2.31
лжеучителях	278991	19521	2	2	2.31
Удовлетворение	278991	19521	2	2	2.31
обличений	278991	19521	2	2	2.31
Божества	278991	19521	2	2	2.31
бесовским	278991	19521	2	2	2.31
лжесловесников	278991	19521	2	2	2.31
сожженных	278991	19521	2	2	2.31
сгорает	278991	19521	2	2	2.31
неудовлетворенной	278991	19521	2	2	2.31
муках	278991	19521	2	2	2.31
выхода	278991	19521	2	2	2.31
сжигании	278991	19521	2	2	2.31
сжигания	278991	19521	2	2	2.31
некоторому	278991	19521	2	2	2.31
слепое	278991	19521	2	2	2.31
подчинение	278991	19521	2	2	2.31
антисоциальном	278991	19521	2	2	2.31
почувствовал	278991	19521	2	2	2.31
сожженные	278991	19521	2	2	2.31
«своей»	278991	19521	2	2	2.31
ужасным	278991	19521	2	2	2.31
бьет	278991	19521	2	2	2.31
Христианину	278991	19521	2	2	2.31
проступков	278991	19521	2	2	2.31
восприимчивой	278991	19521	2	2	2.31
двигать	278991	19521	2	2	2.31
разоблачения	278991	19521	2	2	2.31
чиста»	278991	19521	2	2	2.31
порицает	278991	19521	2	2	2.31
взрослой	278991	19521	2	2	2.31
индикатором	278991	19521	2	2	2.31
Фромм	278991	19521	2	2	2.31
авторитарную	278991	19521	2	2	2.31
гуманистическую	278991	19521	2	2	2.31
договариваться	278991	19521	2	2	2.31
Кому-то	278991	19521	2	2	2.31
Консервативная	278991	19521	2	2	2.31
утолить	278991	19521	2	2	2.31
«голод»	278991	19521	2	2	2.31
пробуждении	278991	19521	2	2	2.31
хороша	278991	19521	2	2	2.31
системная	278991	19521	2	2	2.31
Интегральная	278991	19521	2	2	2.31
трансцендентная	278991	19521	2	2	2.31
Запишитесь	278991	19521	2	2	2.31
онлайн-консультацию	278991	19521	2	2	2.31
сдерживающим	278991	19521	2	2	2.31
нормальное	278991	19521	2	2	2.31
велениям	278991	19521	2	2	2.31
Тестирование	278991	19521	2	2	2.31
повествованиях	278991	19521	2	2	2.31
сопернику	278991	19521	2	2	2.31
другую”	278991	19521	2	2	2.31
исходной	278991	19521	2	2	2.31
афоризм	278991	19521	2	2	2.31
глубинная	278991	19521	2	2	2.31
«Наличие	278991	19521	2	2	2.31
в борьбе	278991	19521	2	2	2.31
за выживание	278991	19521	2	2	2.31
Из сказанного	278991	19521	2	2	2.31
Искажение	278991	19521	2	2	2.31
Скрупулёзность	278991	19521	2	2	2.31
Благо	278991	19521	2	2	2.31
занятиям	278991	19521	2	2	2.31
заглушается	278991	19521	2	2	2.31
слабеет	278991	19521	2	2	2.31
неверно	278991	19521	2	2	2.31
нападает	278991	19521	2	2	2.31
страшливость	278991	19521	2	2	2.31
(скрупулезность)	278991	19521	2	2	2.31
заблуждающаяся	278991	19521	2	2	2.31
вразумляется	278991	19521	2	2	2.31
злато	278991	19521	2	2	2.31
натачивается	278991	19521	2	2	2.31
безукоризненною	278991	19521	2	2	2.31
сие-то	278991	19521	2	2	2.31
неправости	278991	19521	2	2	2.31
хватило	278991	19521	2	2	2.31
прокурора	278991	19521	2	2	2.31
отношении	278991	19521	59	10	2.30
душу	278991	19521	25	6	2.28
тех	278991	19521	89	13	2.26
поэтому	278991	19521	79	12	2.26
врожденное	278991	19521	6	3	2.26
письменный	278991	19521	6	3	2.26
облегчения	278991	19521	6	3	2.26
страдали	278991	19521	6	3	2.26
проявлениях	278991	19521	6	3	2.26
обнаруживаются	278991	19521	6	3	2.26
Возникновение	278991	19521	6	3	2.26
возникнет	278991	19521	6	3	2.26
изображения	278991	19521	6	3	2.26
Божьим	278991	19521	6	3	2.26
фильтр	278991	19521	6	3	2.26
добрую	278991	19521	6	3	2.26
моральное	278991	19521	6	3	2.26
лицемерие	278991	19521	6	3	2.26
страдают	278991	19521	6	3	2.26
развита	278991	19521	6	3	2.26
твоей	278991	19521	6	3	2.26
испытание	278991	19521	6	3	2.26
услышать	278991	19521	18	5	2.25
закону	278991	19521	18	5	2.25
Поэтому	278991	19521	90	13	2.23
жить	278991	19521	52	9	2.18
занимается	278991	19521	12	4	2.18
Обычно	278991	19521	12	4	2.18
свободу	278991	19521	12	4	2.18
сохранить	278991	19521	12	4	2.18
ребенка	278991	19521	62	10	2.16
понятиями	278991	19521	19	5	2.15
Ницше	278991	19521	19	5	2.15
способность	278991	19521	157	19	2.15
проявления	278991	19521	27	6	2.12
вызывает	278991	19521	27	6	2.12
Человек	278991	19521	84	12	2.08
страх	278991	19521	45	8	2.07
суд	278991	19521	20	5	2.06
совершает	278991	19521	20	5	2.06
глубоко	278991	19521	20	5	2.06
изначально	278991	19521	13	4	2.05
еще	278991	19521	150	18	2.05
Священном	278991	19521	7	3	2.05
силами	278991	19521	7	3	2.05
волею	278991	19521	7	3	2.05
обычной	278991	19521	7	3	2.05
исповеди	278991	19521	7	3	2.05
словаре	278991	19521	7	3	2.05
показатель	278991	19521	7	3	2.05
ошибаться	278991	19521	7	3	2.05
понятию	278991	19521	7	3	2.05
важен	278991	19521	7	3	2.05
вызывая	278991	19521	7	3	2.05
благо	278991	19521	7	3	2.05
авторитету	278991	19521	7	3	2.05
важнее	278991	19521	7	3	2.05
проявляет	278991	19521	7	3	2.05
сохранять	278991	19521	7	3	2.05
присущи	278991	19521	7	3	2.05
Надо	278991	19521	7	3	2.05
искажения	278991	19521	7	3	2.05
точкой	278991	19521	7	3	2.05
требованиями	278991	19521	7	3	2.05
Святогорец	278991	19521	7	3	2.05
покаянием	278991	19521	7	3	2.05
страха	278991	19521	37	7	2.02
Из	278991	19521	29	6	1.98
связана	278991	19521	29	6	1.98
играет	278991	19521	29	6	1.98
стать	278991	19521	29	6	1.98
говорят	278991	19521	47	8	1.97
иметь	278991	19521	47	8	1.97
воля	278991	19521	21	5	1.97
рассматривается	278991	19521	21	5	1.97
нравственной	278991	19521	21	5	1.97
живет	278991	19521	21	5	1.97
людьми	278991	19521	57	9	1.95
Не	278991	19521	88	12	1.94
